Distance_(mm),Gray_Value
74.083,139.168
74.168,139.308
74.253,139.363
74.337,139.327
74.422,139.535
74.507,139.370
74.591,139.491
74.676,139.439
74.761,139.617
74.845,139.707
74.930,140.009
75.015,139.791
75.099,139.614
75.184,139.886
75.269,139.833
75.353,139.942
75.438,139.948
75.523,140.072
75.607,139.921
75.692,139.949
75.777,139.952
75.861,139.826
75.946,139.971
76.031,140.171
76.115,140.203
76.200,140.344
76.285,140.238
76.369,140.113
76.454,140.320
76.539,140.151
76.623,140.290
76.708,140.447
76.793,140.593
76.877,140.571
76.962,140.781
77.047,140.668
77.131,140.666
77.216,140.764
77.301,140.752
77.385,140.847
77.470,140.837
77.555,140.799
77.639,140.669
77.724,140.860
77.809,140.997
77.893,141.042
77.978,141.129
78.063,140.923
78.147,140.985
78.232,140.755
78.317,140.772
78.401,140.797
78.486,140.897
78.571,141.138
78.655,141.027
78.740,140.879
78.825,140.999
78.909,141.162
78.994,141.314
79.079,141.218
79.163,141.209
79.248,141.217
79.333,141.007
79.417,141.046
79.502,141.173
79.587,141.032
79.671,141.171
79.756,141.004
79.841,141.290
79.925,141.612
80.010,141.377
80.095,141.372
80.179,141.335
80.264,141.306
80.349,141.485
80.433,141.531
80.518,141.537
80.603,141.501
80.687,141.656
80.772,141.714
80.857,141.639
80.941,141.614
81.026,141.557
81.111,141.513
81.195,141.262
81.280,141.502
81.365,141.463
81.449,141.817
81.534,141.791
81.619,141.962
81.703,141.931
81.788,141.991
81.873,142.120
81.957,141.988
82.042,141.977
82.127,141.941
82.211,141.667
82.296,141.747
82.381,141.754
82.465,141.968
82.550,141.931
82.635,142.154
82.719,142.189
82.804,141.978
82.889,141.895
82.973,141.905
83.058,141.910
83.143,141.824
83.227,141.968
83.312,141.961
83.397,141.778
83.481,142.051
83.566,142.179
83.651,142.149
83.735,142.100
83.820,141.884
83.905,142.030
83.989,141.941
84.074,142.001
84.159,142.247
84.243,142.193
84.328,142.248
84.413,142.141
84.497,142.148
84.582,142.137
84.667,142.440
84.751,142.334
84.836,142.066
84.921,142.054
85.005,142.228
85.090,142.334
85.175,142.429
85.259,142.394
85.344,142.507
85.429,142.499
85.513,142.650
85.598,142.650
85.683,142.802
85.767,142.646
85.852,142.802
85.937,142.958
86.021,142.718
86.106,143.067
86.191,143.097
86.275,143.107
86.360,142.996
86.445,143.118
86.529,143.043
86.614,142.996
86.699,143.041
86.783,142.951
86.868,142.860
86.953,142.906
87.037,142.873
87.122,142.942
87.207,142.939
87.291,143.030
87.376,143.020
87.461,142.981
87.545,142.862
87.630,142.890
87.715,143.129
87.799,143.034
87.884,143.161
87.969,143.220
88.053,143.222
88.138,143.149
88.223,143.123
88.307,143.075
88.392,143.042
88.477,143.139
88.561,143.238
88.646,143.334
88.731,143.193
88.815,143.157
88.900,143.304
88.985,143.479
89.069,143.405
89.154,143.568
89.239,143.756
89.323,143.806
89.408,143.726
89.493,143.668
89.577,143.818
89.662,143.943
89.747,143.713
89.831,143.691
89.916,143.583
90.001,143.624
90.085,143.743
90.170,143.794
90.255,144.001
90.339,143.917
90.424,143.812
90.509,143.820
90.593,143.863
90.678,143.914
90.763,143.937
90.847,143.672
90.932,144.045
91.017,144.116
91.101,143.901
91.186,144.041
91.271,144.091
91.355,144.071
91.440,143.904
91.525,143.941
91.609,144.172
91.694,144.309
91.779,144.325
91.863,144.458
91.948,144.545
92.033,144.509
92.117,144.754
92.202,144.784
92.287,144.658
92.371,144.607
92.456,144.688
92.541,144.997
92.625,144.872
92.710,144.888
92.795,144.895
92.879,145.138
92.964,145.208
93.049,145.206
93.133,145.045
93.218,145.085
93.303,145.184
93.387,145.381
93.472,145.376
93.557,145.406
93.641,145.410
93.726,145.368
93.811,145.650
93.895,145.735
93.980,145.653
94.065,145.749
94.149,145.708
94.234,145.744
94.319,146.048
94.403,145.968
94.488,146.023
94.573,146.325
94.657,146.299
94.742,146.335
94.827,146.308
94.911,146.403
94.996,146.410
95.081,146.367
95.165,146.481
95.250,146.440
95.335,146.426
95.419,146.619
95.504,146.497
95.589,146.492
95.673,146.657
95.758,146.728
95.843,146.994
95.927,147.179
96.012,147.043
96.097,146.998
96.181,147.273
96.266,147.068
96.351,147.193
96.435,147.185
96.520,147.535
96.605,147.785
96.689,147.767
96.774,147.874
96.859,147.759
96.943,147.894
97.028,148.095
97.113,148.085
97.197,148.169
97.282,148.079
97.367,148.172
97.451,148.331
97.536,148.565
97.621,148.122
97.705,148.334
97.790,148.500
97.875,148.567
97.959,148.762
98.044,148.732
98.129,148.709
98.213,148.672
98.298,148.708
98.383,148.924
98.467,148.871
98.552,149.014
98.637,149.056
98.721,149.389
98.806,149.398
98.891,149.465
98.975,149.634
99.060,149.593
99.145,149.466
99.229,149.693
99.314,149.903
99.399,150.061
99.483,149.877
99.568,150.095
99.653,150.333
99.737,150.385
99.822,150.170
99.907,150.499
99.991,150.484
100.076,150.610
100.161,150.532
100.245,150.556
100.330,150.677
100.415,150.771
100.499,150.917
100.584,150.985
100.669,151.186
100.753,151.271
100.838,151.142
100.923,151.399
101.007,151.380
101.092,151.451
101.177,151.590
101.261,151.527
101.346,151.812
101.431,151.879
101.515,151.856
101.600,151.948
101.685,151.951
101.769,152.011
101.854,152.127
101.939,152.283
102.023,152.299
102.108,152.555
102.193,152.531
102.277,152.762
102.362,152.995
102.447,152.983
102.531,152.974
102.616,152.945
102.701,153.278
102.785,153.361
102.870,153.336
102.955,153.503
103.039,153.644
103.124,153.720
103.209,153.932
103.293,153.904
103.378,154.182
103.463,154.351
103.547,154.471
103.632,154.368
103.717,154.508
103.801,154.310
103.886,154.242
103.971,154.423
104.055,154.418
104.140,154.533
104.225,154.596
104.309,154.795
104.394,154.859
104.479,154.944
104.563,155.227
104.648,155.399
104.733,155.635
104.817,155.472
104.902,155.498
104.987,155.811
105.071,155.862
105.156,156.139
105.241,156.138
105.325,156.215
105.410,156.192
105.495,156.454
105.579,156.412
105.664,156.305
105.749,156.469
105.833,156.720
105.918,156.797
106.003,156.727
106.087,156.867
106.172,157.041
106.257,157.060
106.341,157.159
106.426,157.394
106.511,157.443
106.595,157.482
106.680,157.324
106.765,157.544
106.849,157.797
106.934,157.835
107.019,157.565
107.103,157.817
107.188,157.933
107.273,157.750
107.357,157.904
107.442,158.047
107.527,158.122
107.611,158.031
107.696,158.149
107.781,158.285
107.865,158.433
107.950,158.571
108.035,158.778
108.119,158.953
108.204,159.137
108.289,159.083
108.373,159.157
108.458,159.255
108.543,159.551
108.627,159.761
108.712,159.664
108.797,159.723
108.881,159.911
108.966,159.930
109.051,159.896
109.135,160.166
109.220,160.151
109.305,160.246
109.389,160.519
109.474,160.596
109.559,160.672
109.643,160.708
109.728,160.750
109.813,160.821
109.897,160.962
109.982,160.943
110.067,161.153
110.151,161.341
110.236,161.647
110.321,161.646
110.405,161.784
110.490,161.998
110.575,161.840
110.659,161.860
110.744,162.014
110.829,161.919
110.913,161.930
110.998,161.916
111.083,162.063
111.167,162.416
111.252,162.676
111.337,162.842
111.421,163.093
111.506,163.241
111.591,163.351
111.675,163.576
111.760,163.396
111.845,163.549
111.929,163.604
112.014,163.583
112.099,163.710
112.183,163.744
112.268,163.748
112.353,163.604
112.437,163.786
112.522,163.658
112.607,163.818
112.691,164.029
112.776,164.436
112.861,164.667
112.945,165.176
113.030,165.661
113.115,165.854
113.199,165.865
113.284,165.966
113.369,166.168
113.453,166.402
113.538,166.461
113.623,166.553
113.707,166.283
113.792,166.361
113.877,166.747
113.961,166.848
114.046,167.059
114.131,167.234
114.215,167.426
114.300,167.345
114.385,167.500
114.469,167.674
114.554,168.018
114.639,168.281
114.723,168.089
114.808,168.286
114.893,168.619
114.977,168.436
115.062,168.697
115.147,168.939
115.231,169.110
115.316,169.307
115.401,169.196
115.485,169.169
115.570,169.525
115.655,169.725
115.739,169.955
115.824,169.966
115.909,169.855
115.993,170.013
116.078,170.001
116.163,170.285
116.247,170.496
116.332,170.841
116.417,170.896
116.501,171.073
116.586,171.135
116.671,171.297
116.755,171.411
116.840,171.584
116.925,171.787
117.009,171.777
117.094,171.843
117.179,171.912
117.263,171.938
117.348,171.978
117.433,172.000
117.517,172.000
117.602,172.000
117.687,172.000
117.771,172.040
117.856,172.080
117.941,172.174
118.025,172.238
118.110,172.462
118.195,172.827
118.279,172.995
118.364,173.211
118.449,173.324
118.533,173.491
118.618,173.808
118.703,173.702
118.787,174.051
118.872,174.008
118.957,173.847
119.041,173.896
119.126,173.919
119.211,173.852
119.295,173.518
119.380,173.172
119.465,173.075
119.549,172.541
119.634,171.948
119.719,171.248
119.803,170.257
119.888,169.124
119.973,167.810
120.057,166.482
120.142,165.455
120.227,164.715
120.311,164.250
120.396,164.285
120.481,164.658
120.565,165.243
120.650,166.484
120.735,167.879
120.819,169.433
120.904,170.559
120.989,171.758
121.073,172.229
121.158,172.745
121.243,173.445
121.327,173.993
121.412,174.410
121.497,174.676
121.581,175.060
121.666,175.539
121.751,175.867
121.835,176.183
121.920,176.179
122.005,176.613
122.089,176.818
122.174,176.923
122.259,177.310
122.343,177.803
122.428,178.007
122.513,178.510
122.597,178.865
122.682,178.990
122.767,179.533
122.851,179.939
122.936,180.228
123.021,180.566
123.105,180.908
123.190,180.980
123.275,181.120
123.359,181.493
123.444,181.912
123.529,182.297
123.613,182.949
123.698,183.397
123.783,183.962
123.867,184.585
123.952,184.925
124.037,185.176
124.121,185.662
124.206,185.990
124.291,186.395
124.375,186.693
124.460,186.906
124.545,187.281
124.629,187.376
124.714,187.585
124.799,187.846
124.883,187.969
124.968,188.174
125.053,188.483
125.137,188.853
125.222,189.197
125.307,189.757
125.391,190.184
125.476,190.480
125.561,190.704
125.645,191.156
125.730,191.521
125.815,191.884
125.899,192.166
125.984,192.458
126.069,192.419
126.153,192.799
126.238,193.314
126.323,193.615
126.407,193.818
126.492,193.876
126.577,194.082
126.661,194.440
126.746,194.601
126.831,194.962
126.915,195.100
127.000,195.370
127.085,195.550
127.169,195.963
127.254,196.398
127.339,196.849
127.423,196.980
127.508,197.508
127.593,197.443
127.677,197.471
127.762,197.292
127.847,197.760
127.931,198.255
128.016,198.734
128.101,199.031
128.185,199.221
128.270,199.633
128.355,199.795
128.439,200.012
128.524,200.433
128.609,200.416
128.693,200.655
128.778,200.833
128.863,201.029
128.947,201.082
129.032,201.168
129.117,200.804
129.201,200.321
129.286,199.505
129.371,198.232
129.455,195.426
129.540,191.297
129.625,185.008
129.709,178.208
129.794,174.375
129.879,174.770
129.963,177.018
130.048,177.967
130.133,177.427
130.217,176.161
130.302,174.622
130.387,173.169
130.471,172.199
130.556,171.912
130.641,171.986
130.725,172.126
130.810,174.410
130.895,178.297
130.979,181.340
131.064,183.311
131.149,185.816
131.233,191.594
131.318,200.197
131.403,208.402
131.487,214.539
131.572,218.466
131.657,220.456
131.741,221.020
131.826,221.069
131.911,221.170
131.995,221.376
132.080,221.284
132.165,221.312
132.249,221.578
132.334,221.748
132.419,221.587
132.503,221.604
132.588,221.725
132.673,221.765
132.757,221.795
132.842,221.979
132.927,221.987
133.011,222.084
133.096,222.025
133.181,222.029
133.265,222.067
133.350,222.095
133.435,222.193
133.519,222.189
133.604,222.239
133.689,222.306
133.773,222.102
133.858,222.315
133.943,222.275
134.027,222.178
134.112,222.334
134.197,222.299
134.281,222.325
134.366,222.253
134.451,222.474
134.535,222.454
134.620,222.451
134.705,222.537
134.789,222.671
134.874,222.468
134.959,222.774
135.043,222.582
135.128,222.466
135.213,222.260
135.297,222.104
135.382,222.231
135.467,222.241
135.551,222.432
135.636,222.492
135.721,222.370
135.805,222.177
135.890,222.600
135.975,222.540
136.059,222.359
136.144,222.600
136.229,222.516
136.313,222.531
136.398,222.742
136.483,222.723
136.567,222.722
136.652,222.919
136.737,222.832
136.821,222.732
136.906,222.484
136.991,222.378
137.075,222.569
137.160,222.514
137.245,222.588
137.329,222.505
137.414,222.438
137.499,222.468
137.583,222.573
137.668,222.735
137.753,222.525
137.837,222.270
137.922,222.064
138.007,222.597
138.091,222.812
138.176,222.817
138.261,222.884
138.345,222.829
138.430,222.770
138.515,222.626
138.599,222.595
138.684,222.847
138.769,222.561
138.853,222.715
138.938,222.508
139.023,222.367
139.107,222.497
139.192,222.329
139.277,222.649
139.361,222.538
139.446,222.609
139.531,222.750
139.615,222.904
139.700,222.754
139.785,222.673
139.869,222.894
139.954,222.640
140.039,222.786
140.123,222.889
140.208,222.794
140.293,222.838
140.377,222.677
140.462,222.691
140.547,222.392
140.631,222.667
140.716,222.820
140.801,222.928
140.885,222.929
140.970,222.118
141.055,222.378
141.139,222.917
141.224,222.926
141.309,222.987
141.393,222.767
141.478,222.520
141.563,222.653
141.647,222.937
141.732,223.134
141.817,223.131
141.901,223.069
141.986,223.279
142.071,223.033
142.155,223.244
142.240,223.362
142.325,223.399
142.409,223.306
142.494,223.258
142.579,223.266
142.663,223.184
142.748,223.037
142.833,223.201
142.917,223.203
143.002,223.072
143.087,223.236
143.171,223.104
143.256,223.216
143.341,223.190
143.425,223.178
143.510,223.153
143.595,223.296
143.679,223.285
143.764,223.253
143.849,223.420
143.933,223.352
144.018,223.072
144.103,223.126
144.187,223.288
144.272,223.188
144.357,223.143
144.441,223.124
144.526,223.035
144.611,223.005
144.695,223.131
144.780,223.152
144.865,223.092
144.949,223.253
145.034,223.321
145.119,223.249
145.203,223.186
145.288,223.091
145.373,222.958
145.457,222.871
145.542,223.049
145.627,223.034
145.711,223.193
145.796,223.035
145.881,222.935
145.965,222.858
146.050,222.876
146.135,222.952
146.219,222.918
146.304,223.046
146.389,222.874
146.473,222.913
146.558,222.902
146.643,222.858
146.727,223.014
146.812,223.030
146.897,223.161
146.981,223.046
147.066,223.038
147.151,223.244
147.235,223.009
147.320,223.051
147.405,223.006
